Subject_ID,PC1,PC2
003_S_1122,-0.372137745,-0.554754428
,,
003_S_1122,-0.415459449,-0.360234505
,,
003_S_1122,-0.403488004,0.790978568
,,
003_S_1122,-0.435323701,0.858280555
,,
005_S_0222,1.190102245,-0.02872109
,,
005_S_0222,0.758293107,-1.449594311
,,
005_S_0222,0.699320591,-1.949595709
,,
005_S_0222,1.005497401,0.31819054
,,
005_S_0222,1.421022971,0.211670134
,,
005_S_0223,1.047479098,0.189158526
,,
005_S_0223,1.045027358,0.617588759
,,
005_S_0324,3.228249866,-0.740639748
,,
005_S_0324,1.555246847,-0.419162889
,,
005_S_0324,1.412197715,-1.387758322
,,
005_S_0324,1.369884456,-1.289078926
,,
005_S_0324,2.910429278,-0.882427149
,,
005_S_0448,2.256896801,0.261848599
,,
005_S_0448,0.70486622,0.29716539
,,
005_S_0448,1.758351927,-0.605091271
,,
005_S_0448,1.928474283,-1.086839152
,,
005_S_0448,0.600398565,-0.453076315
,,
005_S_0546,1.275715023,-1.278393986
,,
005_S_0546,1.169156013,-1.435825383
,,
005_S_0546,0.573360924,-1.304693575
,,
005_S_0546,1.602926897,-0.270777573
,,
005_S_0546,2.425807934,-0.765045462
,,
005_S_0553,0.889734139,-0.070150129
,,
005_S_0553,2.199430951,-1.062495733
,,
005_S_0553,0.687942333,-2.216927723
,,
005_S_0602,2.244415779,-0.584789198
,,
005_S_0602,1.326674462,-1.020111497
,,
005_S_0602,2.842976967,-0.828423308
,,
005_S_0610,0.651644428,-1.422235671
,,
005_S_0610,1.406201426,-0.2077047
,,
005_S_0610,0.693311925,-1.128988326
,,
005_S_1224,1.198611829,-0.150454029
,,
005_S_1224,0.591764331,0.131042625
,,
005_S_1224,0.607655113,-1.891491782
,,
005_S_1224,0.767198219,-0.062084426
,,
005_S_1224,0.524627097,-1.823926638
,,
005_S_1341,1.208626264,-0.693616186
,,
005_S_1341,1.286228635,-1.225674293
,,
006_S_0498,2.841787625,-0.160824566
,,
006_S_0498,2.977340459,0.107665426
,,
006_S_0547,2.401237018,-0.301926945
,,
006_S_0681,2.238880637,-0.149841473
,,
006_S_0681,2.405264453,-0.167526003
,,
006_S_0731,2.775477621,-0.468987855
,,
006_S_0731,2.967744733,-0.461827352
,,
006_S_0731,2.743692706,-0.619180901
,,
006_S_1130,3.036198767,-0.326554476
,,
006_S_1130,2.978404749,-0.366783977
,,
006_S_1130,2.76039169,-0.96890654
,,
006_S_1130,2.948321614,-0.466675017
,,
006_S_1130,2.63699544,-0.466007145
,,
007_S_0041,1.431418518,-0.212787483
,,
007_S_0041,1.36599637,-0.010318644
,,
007_S_0041,1.837685613,-0.52780784
,,
007_S_0041,1.523210111,-0.020608007
,,
007_S_0041,1.348327554,0.056997789
,,
007_S_0041,1.426170714,-0.200970184
,,
007_S_0041,1.367796234,-0.018811014
,,
007_S_0068,1.316934469,-0.023971467
,,
007_S_0068,1.318456627,-0.024870501
,,
007_S_0068,2.679326,-0.301284488
,,
007_S_0068,2.679766919,-0.298785083
,,
007_S_0101,0.950399162,-0.211419406
,,
007_S_0101,1.480502697,-0.096514282
,,
007_S_0101,1.024078757,0.002580445
,,
007_S_0101,0.87451633,0.138252726
,,
007_S_0101,1.104723084,0.096505112
,,
007_S_0101,0.950508664,-0.210964003
,,
007_S_0101,1.482947293,-0.100809035
,,
007_S_0128,1.600084272,-0.48540438
,,
007_S_0128,1.420584041,-0.814491015
,,
007_S_0128,2.419477903,-0.744738389
,,
007_S_0128,1.670958837,-0.132061618
